Jahr;Gemeindeteilschlüssel;Gemeindeteilebene;Gemeindeteilname;Wohnberechtigte insgesamt;Wohnberechtigte weiblich;Wohnberechtigte ohne Migrationshintergrund;Wohnberechtigte Migrationshintergrund;Wohnberechtigte Ausländer;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer;Bevölkerung am Ort der Nebenwohnung insgesamt;Bevölkerung am Ort der Nebenwohnung weiblich;Bevölkerung am Ort der Nebenwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Nebenwohnung Migrationshintergrund;Bevölkerung am Ort der Nebenwohnung Ausländer
2013;0000;Stadt;Mannheim;328831;163443;199393;129438;71065;307936;154455;181704;126232;69778;20895;8988;17689;3206;1287
2014;0163;Stadtteil;Almenhof;7417;3750;5024;2393;1313;6830;3484;4506;2324;1288;587;266;518;69;25
2014;0140;Stadtteil;Wallstadt;8241;4212;6553;1688;560;7911;4070;6259;1652;550;330;142;294;36;10
2013;0070;Stadtteil;Schönau;13252;6678;7503;5749;2930;12983;6558;7311;5672;2898;269;120;192;77;32
2013;0081;Stadtteil;Waldhof;10906;5472;6702;4204;2321;10570;5330;6428;4142;2290;336;142;274;62;31
2014;0010;Stadtteil;Innenstadt/Jungbusch;33740;15379;14559;19181;13567;30180;13847;11689;18491;13258;3560;1532;2870;690;309
2015;0010;Stadtteil;Innenstadt/Jungbusch;33933;15421;14453;19480;13776;30408;13904;11600;18808;13472;3525;1517;2853;672;304
2015;0110;Stadtteil;Friedrichsfeld;5661;2816;4043;1618;936;5394;2694;3798;1596;925;267;122;245;22;11
2015;0101;Stadtteil;Seckenheim;13940;7007;9982;3958;2072;13261;6716;9382;3879;2036;679;291;600;79;36
2016;0170;Stadtteil;Rheinau;25929;12536;13694;12235;5969;24880;12109;12821;12059;5917;1049;427;873;176;52
2016;0161;Stadtteil;Neckarau;16442;8129;10108;6334;3689;15636;7801;9428;6208;3634;806;328;680;126;55
2016;0163;Stadtteil;Almenhof;7440;3700;4878;2562;1408;6867;3449;4370;2497;1390;573;251;508;65;18
2015;0163;Stadtteil;Almenhof;7433;3743;5022;2411;1355;6863;3499;4518;2345;1333;570;244;504;66;22
2014;0070;Stadtteil;Schönau;13394;6700;7396;5998;3166;13135;6582;7209;5926;3140;259;118;187;72;26
2014;0083;Stadtteil;Luzenberg;3158;1474;1040;2118;1420;3067;1440;980;2087;1404;91;34;60;31;16
2013;0082;Stadtteil;Gartenstadt;11039;5677;8679;2360;841;10573;5452;8251;2322;831;466;225;428;38;10
2013;0130;Stadtteil;Vogelstang;13361;6916;7370;5991;1734;12855;6706;6955;5900;1711;506;210;415;91;23
2013;0150;Stadtteil;Feudenheim;15169;7958;12347;2822;1165;14061;7476;11336;2725;1140;1108;482;1011;97;25
2013;0102;Stadtteil;Hochstätt;3201;1496;1029;2172;1316;3098;1461;958;2140;1300;103;35;71;32;16
2013;0120;Stadtteil;Käfertal;24952;12564;15692;9260;4062;23834;12076;14758;9076;3978;1118;488;934;184;84
2013;0161;Stadtteil;Neckarau;16142;8032;10505;5637;3298;15308;7675;9792;5516;3245;834;357;713;121;53
2013;0091;Stadtteil;Neuostheim;3514;1731;2801;713;336;2816;1473;2139;677;333;698;258;662;36;3
2013;0163;Stadtteil;Almenhof;7384;3730;5063;2321;1230;6770;3456;4520;2250;1209;614;274;543;71;21
2016;0082;Stadtteil;Gartenstadt;10845;5582;8153;2692;892;10378;5355;7737;2641;878;467;227;416;51;14
2016;0083;Stadtteil;Luzenberg;3161;1496;978;2183;1427;3065;1467;916;2149;1408;96;29;62;34;19
2016;0091;Stadtteil;Neuostheim;3456;1691;2650;806;377;2829;1458;2055;774;374;627;233;595;32;3
2016;0150;Stadtteil;Feudenheim;15599;8018;11848;3751;1836;14536;7546;10884;3652;1812;1063;472;964;99;24
2015;0020;Stadtteil;Neckarstadt-West;23438;10177;7735;15703;12009;22388;9698;6909;15479;11903;1050;479;826;224;106
2015;0030;Stadtteil;Neckarstadt-Ost;34799;17414;18060;16739;9257;32645;16461;16269;16376;9130;2154;953;1791;363;127
2015;0041;Stadtteil;Oststadt;13896;6993;9650;4246;2269;12323;6326;8307;4016;2166;1573;667;1343;230;103
2015;0042;Stadtteil;Schwetzingerstadt;11213;5483;6513;4700;2915;10062;5006;5523;4539;2848;1151;477;990;161;67
2015;0050;Stadtteil;Lindenhof;14287;7478;9995;4292;1969;13148;6963;8997;4151;1924;1139;515;998;141;45
2015;0060;Stadtteil;Sandhofen;14035;7105;9702;4333;2347;13482;6858;9220;4262;2309;553;247;482;71;38
2015;0070;Stadtteil;Schönau;13390;6690;7306;6084;3247;13122;6568;7106;6016;3221;268;122;200;68;26
2015;0081;Stadtteil;Waldhof;11077;5480;6335;4742;2696;10753;5362;6077;4676;2667;324;118;258;66;29
2015;0082;Stadtteil;Gartenstadt;10896;5604;8403;2493;890;10446;5388;7996;2450;879;450;216;407;43;11
2015;0083;Stadtteil;Luzenberg;3199;1512;1025;2174;1429;3107;1480;963;2144;1413;92;32;62;30;16
2015;0092;Stadtteil;Neuhermsheim;4769;2453;2816;1953;719;4606;2384;2696;1910;710;163;69;120;43;9
2015;0102;Stadtteil;Hochstätt;3229;1568;978;2251;1347;3145;1539;919;2226;1334;84;29;59;25;13
2015;0140;Stadtteil;Wallstadt;8279;4233;6559;1720;585;7939;4086;6259;1680;574;340;147;300;40;11
2015;0162;Stadtteil;Niederfeld;7990;4150;5746;2244;1079;7440;3910;5263;2177;1055;550;240;483;67;24
2015;0170;Stadtteil;Rheinau;26087;12525;14150;11937;6055;24982;12088;13226;11756;5996;1105;437;924;181;59
2014;0000;Stadt;Mannheim;331907;164261;197825;134082;74746;311470;155504;180562;130908;73444;20437;8757;17263;3174;1302
2014;0030;Stadtteil;Neckarstadt-Ost;34513;17251;18097;16416;9037;32262;16283;16245;16017;8876;2251;968;1852;399;161
2014;0041;Stadtteil;Oststadt;13788;6939;9697;4091;2179;12182;6250;8333;3849;2069;1606;689;1364;242;110
2014;0081;Stadtteil;Waldhof;11005;5472;6500;4505;2541;10672;5341;6235;4437;2507;333;131;265;68;34
2014;0082;Stadtteil;Gartenstadt;10925;5627;8498;2427;888;10465;5402;8077;2388;877;460;225;421;39;11
2014;0101;Stadtteil;Seckenheim;13236;6774;9998;3238;1432;12562;6482;9395;3167;1400;674;292;603;71;32
2014;0110;Stadtteil;Friedrichsfeld;5664;2812;4083;1581;899;5401;2695;3851;1550;884;263;117;232;31;15
2014;0120;Stadtteil;Käfertal;25448;12697;15681;9767;4434;24352;12229;14762;9590;4360;1096;468;919;177;74
2014;0162;Stadtteil;Niederfeld;7844;4084;5754;2090;994;7278;3835;5254;2024;971;566;249;500;66;23
2013;0060;Stadtteil;Sandhofen;13662;6954;9761;3901;2102;13129;6718;9291;3838;2067;533;236;470;63;35
2013;0092;Stadtteil;Neuhermsheim;4781;2480;2850;1931;705;4612;2405;2721;1891;697;169;75;129;40;8
2013;0110;Stadtteil;Friedrichsfeld;5684;2830;4140;1544;859;5426;2720;3908;1518;845;258;110;232;26;14
2013;0140;Stadtteil;Wallstadt;8207;4194;6562;1645;558;7871;4054;6258;1613;548;336;140;304;32;10
2013;0162;Stadtteil;Niederfeld;7659;3984;5671;1988;935;7096;3733;5168;1928;917;563;251;503;60;18
2016;0000;Stadt;Mannheim;336368;165767;191794;144574;80265;316265;157138;174871;141394;79106;20103;8629;16923;3180;1159
2016;0020;Stadtteil;Neckarstadt-West;21920;9978;7426;14494;10686;20902;9525;6635;14267;10581;1018;453;791;227;105
2016;0041;Stadtteil;Oststadt;13805;6969;9516;4289;2178;12274;6305;8209;4065;2101;1531;664;1307;224;77
2016;0042;Stadtteil;Schwetzingerstadt;11387;5580;6447;4940;3028;10209;5080;5447;4762;2960;1178;500;1000;178;68
2016;0060;Stadtteil;Sandhofen;14140;7147;9469;4671;2387;13592;6901;8990;4602;2353;548;246;479;69;34
2016;0081;Stadtteil;Waldhof;11295;5605;6114;5181;2948;10963;5478;5855;5108;2919;332;127;259;73;29
2016;0092;Stadtteil;Neuhermsheim;4735;2433;2766;1969;700;4567;2356;2638;1929;692;168;77;128;40;8
2016;0101;Stadtteil;Seckenheim;13442;6811;9776;3666;1678;12772;6536;9181;3591;1647;670;275;595;75;31
2016;0102;Stadtteil;Hochstätt;3235;1561;922;2313;1386;3159;1536;870;2289;1372;76;25;52;24;14
2016;0120;Stadtteil;Käfertal;28331;13431;15288;13043;7215;27219;12969;14372;12847;7139;1112;462;916;196;76
2016;0140;Stadtteil;Wallstadt;8264;4229;6411;1853;619;7914;4080;6104;1810;606;350;149;307;43;13
2016;0162;Stadtteil;Niederfeld;8000;4159;5650;2350;1072;7419;3905;5139;2280;1049;581;254;511;70;23
2015;0000;Stadt;Mannheim;337919;165780;196379;141540;81197;317744;157156;179316;138428;79963;20175;8624;17063;3112;1234
2015;0091;Stadtteil;Neuostheim;3432;1678;2673;759;358;2781;1447;2055;726;354;651;231;618;33;4
2015;0120;Stadtteil;Käfertal;28155;13406;15606;12549;7134;27079;12957;14704;12375;7062;1076;449;902;174;72
2015;0130;Stadtteil;Vogelstang;13242;6853;7135;6107;1873;12728;6631;6718;6010;1851;514;222;417;97;22
2015;0150;Stadtteil;Feudenheim;15074;7867;12123;2951;1235;13989;7399;11130;2859;1210;1085;468;993;92;25
2015;0161;Stadtteil;Neckarau;16465;8124;10369;6096;3645;15653;7792;9681;5972;3591;812;332;688;124;54
2014;0020;Stadtteil;Neckarstadt-West;22375;10098;7901;14474;10804;21315;9620;7045;14270;10700;1060;478;856;204;104
2014;0042;Stadtteil;Schwetzingerstadt;11124;5432;6524;4600;2894;9966;4949;5538;4428;2822;1158;483;986;172;72
2014;0050;Stadtteil;Lindenhof;14196;7472;9984;4212;1925;13056;6949;8982;4074;1883;1140;523;1002;138;42
2014;0060;Stadtteil;Sandhofen;13826;7013;9736;4090;2216;13293;6779;9270;4023;2179;533;234;466;67;37
2014;0091;Stadtteil;Neuostheim;3490;1718;2758;732;336;2812;1472;2121;691;330;678;246;637;41;6
2014;0092;Stadtteil;Neuhermsheim;4772;2445;2830;1942;728;4614;2380;2712;1902;718;158;65;118;40;10
2014;0102;Stadtteil;Hochstätt;3210;1523;1015;2195;1338;3116;1492;947;2169;1325;94;31;68;26;13
2014;0130;Stadtteil;Vogelstang;13353;6946;7275;6078;1801;12834;6724;6851;5983;1780;519;222;424;95;21
2014;0170;Stadtteil;Rheinau;25692;12386;14259;11433;5590;24585;11948;13327;11258;5527;1107;438;932;175;63
2013;0010;Stadtteil;Innenstadt/Jungbusch;33339;15250;14526;18813;13243;29698;13684;11571;18127;12935;3641;1566;2955;686;308
2013;0042;Stadtteil;Schwetzingerstadt;11110;5457;6591;4519;2817;9889;4937;5548;4341;2747;1221;520;1043;178;70
2013;0050;Stadtteil;Lindenhof;14109;7462;10010;4099;1850;12940;6934;8984;3956;1811;1169;528;1026;143;39
2013;0083;Stadtteil;Luzenberg;3127;1409;1057;2070;1429;3034;1376;992;2042;1415;93;33;65;28;14
2013;0101;Stadtteil;Seckenheim;13232;6815;10055;3177;1359;12530;6502;9430;3100;1328;702;313;625;77;31
2013;0170;Stadtteil;Rheinau;25396;12303;14446;10950;5160;24271;11855;13502;10769;5099;1125;448;944;181;61
